stop_id,stop_code,name,lat,lon
6001,126391,100 S @ 998 E,40.767128,-111.862731
6003,126394,100 S @ 1298 E,40.767115,-111.854232
6006,126398,100 S @ 1001 E,40.767272,-111.862002
6112,174001,BENGAL BLVD @ 2594 E,40.610061,-111.817733
6145,174034,HIGHLAND DR @ 8089 S,40.603643,-111.832918
6152,174042,HIGHLAND DR @ 8052 S,40.605037,-111.833112
6179,174069,LITTLE COTTONWOOD RD @ 2580 E,40.576693,-111.816988
6384,125244,NAVAJO ST @ 1186 S,40.743395,-111.930218
6410,125270,NAVAJO ST @ 1185 W,40.743523,-111.929944
6419,125279,NAVAJO ST @ 855 S,40.750961,-111.929419
6444,125304,800 W @ 798 S,40.752275,-111.914105
6445,125305,800 W @ 791 S,40.752301,-111.913821
6454,125314,900 W @ 1300 S,40.741666,-111.916972
6587,134074,4100 S @ 4820 W,40.682113,-112.006356
6676,135149,4000 W @ 4122 S,40.681614,-111.986705
6769,137189,700 E @ 3229 S,40.700579,-111.871151
6781,137201,HIGHLAND DR @ 3330 S,40.699169,-111.850597
6788,137208,HIGHLAND DR @ 3910 S,40.686654,-111.845058
6833,137247,1300 E @ 3849 S,40.687554,-111.85401
6842,137256,RICHMOND ST @ 2917 S,40.707759,-111.855262
6984,137316,3900 S @ 110 E,40.686974,-111.887511
6986,137318,3900 S @ 298 E,40.686992,-111.883004
6990,137322,3900 S @ 718 E,40.686955,-111.870613
7006,137338,3900 S @ 1275 E,40.687195,-111.854817
7010,137342,3900 S @ 887 E,40.687183,-111.866118
7013,137345,3900 S @ 685 E,40.687187,-111.872042
7019,137351,3900 S @ 85 E,40.687112,-111.889025
7020,137352,4500 S @ 155 E,40.674219,-111.887738
7119,137453,STATE ST @ 4608 S,40.671416,-111.888497
7473,136200,3300 S @ 889 W,40.699276,-111.916345
7759,127094,FOOTHILL DR @ 2160 S,40.725166,-111.814604
7766,127101,FOOTHILL DR @ 2135 S,40.725364,-111.814443
7773,127108,FOOTHILL DR @ 1325 S,40.741408,-111.826945
7785,137148,700 E @ 3316 S,40.699421,-111.871541
7891,112094,ORCHARD DR @ 2572 S,40.861874,-111.883697
7904,111074,US HWY 89 @ 355 N   (N. SALT LAKE),40.848543,-111.906771
7907,111077,US HWY 89 @ 16 S   (N. SALT LAKE),40.841421,-111.910559
7945,112037,ORCHARD DR @ 2650 S,40.860353,-111.887044
8086,126008,700 E @ 890 S,40.750178,-111.871247
8100,126022,700 E @ 2098 S,40.725679,-111.871414
